"CCA1" "CCA5" "HCC6" "HCC23" "HCC10" "HCC24"
"CDCA4" 3.86794815495967 3.84456766479293 2.86605671545716 2.08827978522457 2.92593551627103 2.26364084113685
"SHCBP1" 18.5429754315518 42.7671438920102 17.5833366585481 6.72511570982189 23.8110787531883 30.0627242508973
"ZNF519" 7.83212888850822 19.8496414695434 3.23044439365643 2.73223889918995 2.96544987734003 2.64780525282589
"ATAD5" 3.63677304409999 6.62406201074968 4.43986486044276 2.39637933800066 3.01457778009224 2.60135692520534
"RTTN" 1.99842519789924 3.49881680463167 2.369686739469 2.63937941269324 2.68720767090452 3.75562732205188
"KDELC2" 3.33060987249999 2.71574980070256 2.35634123564982 2.08997436356975 3.15933833818016 1.89592090142951
"GINS3" 4.77687748071945 8.38004597506146 5.59677552426626 2.45035366248059 3.23483491384441 2.87991138357189
"RTKN2" 4.13030414499095 11.6924694029171 7.69000388790797 3.66484464521341 3.81339551904915 3.62734924957745
"TRAIP" 18.842678232027 25.392745221171 8.25803286515072 3.55366483572429 2.89147484138268 4.62898804780657
"IQGAP3" 6.35222796231085 38.0906687137683 4.4784256988974 3.48613479863806 3.46801132897437 8.88701814515774
"PARPBP" 4.90910484185115 5.70096892975439 5.90110310871005 4.26924627685341 3.76004783723448 4.16680166060531
"FANCA" 4.68000169690321 4.25510025291686 7.32155633689089 2.10066364350598 4.09541699693703 2.18371859627063
"FAM72B" 58.5022593028306 13.8208878579279 20.2999415034417 8.54981664311215 10.6733955448028 5.96512157561123
"FAM111B" 9.34554236482999 19.2167047861681 38.4146730217281 7.10918627672979 7.845457213842 7.31935432531245
"FAM72A" 65.6829385066868 6.74120427007664 25.8816223099406 5.3138025023723 9.72084460446199 5.16157222166502
"WDHD1" 5.8037001760454 7.0054367025847 7.8881092279335 2.74300935206709 2.77860298454942 3.249837307785
"ARHGAP11A" 15.7408473590386 10.1558987034222 10.6836020717621 3.52987091055157 11.0163590274932 5.84018570879178
"DNAJC9" 2.87827685960871 2.28774945694973 3.30271929452248 1.87324994792322 1.54946072401947 1.4610869773122
"PTTG2" 3.7229844072553 9.136100062715 6.70866062270211 2.03130301653311 3.89494318022775 3.41454311189807
